Number of test instances (N)   	Accuracy                       	Jaccard index                  	Hamming score                  	Exact match                    	Jaccard distance               	Hamming loss                   	ZeroOne loss                   	Harmonic score                 	One error                      	Rank loss                      	Avg precision                  	Log Loss (lim. L)              	Log Loss (lim. D)              	F1 (micro averaged)            	F1 (macro averaged by example) 	F1 (macro averaged by label)   	AUPRC (macro averaged)         	AUROC (macro averaged)         	Curve Data                     	Macro Curve Data               	Micro Curve Data               	
	0.529	0.529	0.785	0.248	0.471	0.215	0.752	0.66 	0.307	0.171	0.483	0.394	0.663	0.66 	0.623	0.654	0.695	0.836				
	0.56931	0.56931	0.80693	0.30198	0.43069	0.19307	0.69802	0.68553	0.29703	0.16066	0.47702	0.36955	0.62483	0.69372	0.65165	0.68785	0.72124	0.84806				
	0.52475	0.52475	0.78548	0.23267	0.47525	0.21452	0.76733	0.6548	0.29703	0.17048	0.48248	0.40088	0.65445	0.65969	0.61761	0.65465	0.70477	0.8281				
	0.4967	0.4967	0.77063	0.21287	0.5033	0.22937	0.78713	0.62992	0.33168	0.17331	0.45377	0.40147	0.68682	0.63613	0.58878	0.6282	0.68138	0.82712				
	0.52351	0.52351	0.78218	0.27228	0.47649	0.21782	0.72772	0.64746	0.32673	0.17966	0.49092	0.39323	0.69401	0.65445	0.60809	0.64848	0.69479	0.83334				
	0.52805	0.52805	0.78548	0.25248	0.47195	0.21452	0.74752	0.6564	0.27228	0.16528	0.47829	0.39186	0.6273	0.65969	0.6181	0.65659	0.71768	0.84235				
	0.54744	0.54744	0.79868	0.25743	0.45256	0.20132	0.74257	0.68502	0.28713	0.15963	0.47688	0.38	0.6286	0.68063	0.64241	0.673	0.71741	0.84975				
	0.53713	0.53713	0.79043	0.27723	0.46287	0.20957	0.72277	0.66055	0.28713	0.15063	0.46954	0.37274	0.58942	0.66754	0.62393	0.65604	0.72865	0.85299				
	0.53053	0.53053	0.78713	0.26238	0.46947	0.21287	0.73762	0.66419	0.31683	0.16062	0.50199	0.39249	0.64606	0.6623	0.61947	0.65147	0.69819	0.84063				
	0.53383	0.53383	0.78878	0.27723	0.46617	0.21122	0.72277	0.65277	0.30198	0.16719	0.47558	0.38832	0.66834	0.66492	0.61799	0.65209	0.7063	0.83669				
