Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	1	0.10522521585901592	0.6614988812660512	0.03848013816925736	0.1998046455448112	17798.486	0.5487046632124353	0.007253886010362698	0.053612139156180634	0.03996729382303789	0.10108121699773698	0.092616580310881	0.907383419689119	0.09582274002004793	0.9615198618307427	0.03848013816925736	1.027979274611399	1.0326424870466322	1.028439838802533	0.09059585492227992	4.963979807209432	2.7499123973731265	1930.0	1930	17370.0	0.9290155440414508	0.4427997024302856	17.308	17815.794	0.9927461139896373
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	2	0.11007455500023462	0.6835961545882099	0.03142487046632127	0.20322564213458974	18093.095	0.5051813471502591	0.0056994818652850165	0.04572415494695293	0.040400463091254016	0.09478435305917754	0.09352331606217625	0.9064766839378238	0.09084629525958382	0.9685751295336787	0.03142487046632127	1.026943005181347	1.039378238341969	1.0276914219919402	0.09212435233160622	5.141075165143769	2.8053441265288757	1930.0	1930	17370.0	0.9378238341968912	0.4323569515070833	10.848	18103.943	0.994300518134715
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	3	0.1064894254360107	0.6689699352478973	0.05051813471502591	0.15771857008949763	17861.802	0.3507772020725389	0.011398963730569922	0.06397236614853208	0.025850117993123766	0.08997235486303092	0.09380829015544102	0.906191709844559	0.08902884322573425	0.9494818652849741	0.05051813471502591	1.027979274611399	1.0336787564766838	1.0283246977547496	0.09370466321243584	4.990723211733764	2.591698537512699	1930.0	1930	17370.0	0.944559585492228	0.48404463230615347	18.868	17880.67	0.9886010362694301
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	4	0.11234079694654749	0.6815287445743444	0.057512953367875645	0.14252387833821628	18190.942	0.03005181347150259	0.04870466321243527	0.060449050086355795	0.01826268921722273	0.06484295845997974	0.09564766839377976	0.9043523316062202	0.06473416421602948	0.9424870466321243	0.057512953367875645	1.0300518134715027	1.0155440414507773	1.0303396660909614	0.09502590673574861	4.751211236520328	2.8422370194659097	1930.0	1930	17370.0	0.9435233160621762	0.5329197345695857	13.145	18204.087	0.9512953367875647
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	5	0.1124936828198094	0.6979627784047788	0.05276338514680483	0.1777961635833911	18016.826	0.2932642487046632	0.022279792746114024	0.06312607944732304	0.0217294252679952	0.08141858141858142	0.09528497409326449	0.9047150259067355	0.08160992798298487	0.9472366148531952	0.05276338514680483	1.0264248704663212	1.0481865284974092	1.02671272308578	0.09370466321243515	4.864576622805339	2.6514015926926935	1930.0	1930	17370.0	0.9295336787564766	0.42536966336393417	11.715	18028.541	0.977720207253886
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	6	0.11743379294455987	0.6851126473594941	0.039291882556131266	0.18918000039942023	18084.692	0.31917098445595854	0.00984455958549224	0.04922279792746119	0.012619435774071052	0.06703351675837918	0.09663212435233219	0.9033678756476679	0.0671582303706655	0.9607081174438687	0.039291882556131266	1.0264248704663212	1.0450777202072539	1.0270581462291306	0.09629533678756533	4.99642744648698	2.8373238235704803	1930.0	1930	17370.0	0.9512953367875647	0.5028648910705107	11.924	18096.616	0.9901554404145078
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	7	0.10857218917223058	0.6637040096146833	0.07202072538860103	0.20921661623363158	18106.466	0.03005181347150259	0.06476683937823835	0.07443868739205528	0.020139585947302384	0.07723372034326098	0.0947150259067333	0.9052849740932667	0.07634318256079914	0.927979274611399	0.07202072538860103	1.0290155440414508	1.0238341968911917	1.029418537708693	0.09463730569947941	4.676119948311341	2.8310361721911694	1930.0	1930	17370.0	0.9227979274611399	0.4883093961155036	11.86	18118.326	0.9352331606217616
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	8	0.10803300534798888	0.6778959514733545	0.030915371329879135	0.1786213545878831	17916.195	0.5730569948186528	0.0	0.0435924006908463	0.025903061746979716	0.07547169811320754	0.09520725388601187	0.9047927461139882	0.07330117233195552	0.9690846286701209	0.030915371329879135	1.027979274611399	1.0316062176165803	1.0285549798503166	0.09360103626943136	4.895699271891919	2.7042006336432465	1930.0	1930	17370.0	0.9238341968911917	0.4335780080598725	16.518	17932.713	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	9	NaN	NaN	0.02461139896373057	0.1661714229824262	17793.765	0.34974093264248707	0.005181347150259086	0.031088082901554372	0.006315007429420505	0.043191056910569105	0.09756476683937908	0.9024352331606209	0.0429911777062036	0.9753886010362695	0.02461139896373057	1.0305699481865285	1.0088082901554405	1.0310880829015545	0.09663212435233232	4.483329102220221	2.6916790490949856	1930.0	1930	17370.0	0.9316062176165804	0.3746129139775138	18.259	17812.024	0.9948186528497409
meka.classifiers.multilabel.MULANedit -S BPMLLwD3b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	20NG: -C 20	1	10	NaN	NaN	0.1562916358253146	0.3370743052707403	17983.594	0.03989637305699482	0.15233160621761654	0.15764248704663208	0.015028819996229159	0.1579481970543423	0.08590673575129322	0.9140932642487067	0.15986439807683328	0.8437083641746854	0.1562916358253146	1.0305699481865285	1.0098445595854921	1.030972941853771	0.08590673575129322	4.543516320516165	2.8426188333257074	1930.0	1930	17370.0	0.8367875647668394	0.4762944710653943	12.286	17995.88	0.8476683937823835
