Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	1	NaN	NaN	0.13681428571428575	0.013969511530825393	13152.38	0.0	0.0020000000000000018	0.21789047619047675	0.003456878839143881	0.21907144842924658	0.015021390374331547	0.9849786096256684	0.3119955003019588	0.8631857142857142	0.13681428571428575	3.5	3.694	3.5028888888888887	0.01401069518716577	0.5366305205188979	0.5366305205188979	500.0	500	4500.0	0.68	0.21766293153083463	10.993	13163.373	0.998
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	2	NaN	NaN	0.09890714285714297	0.012228312216513514	13059.361	0.0	0.0	0.15994920634920642	0.0028441938304130322	0.16166152119000843	0.015973262032085517	0.9840267379679145	0.23178348147540387	0.901092857142857	0.09890714285714297	3.51	3.616	3.5115555555555558	0.015550802139037386	0.5373446696014026	0.5373446696014026	500.0	500	4500.0	0.804	0.24859693467715963	15.06	13074.421	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	3	NaN	NaN	0.14508095238095256	0.010298303943542014	13235.245	0.0	0.0	0.22816190476190512	0.003874125390055523	0.23163841807909605	0.01454545454545452	0.9854545454545455	0.3272129262474984	0.8549190476190475	0.14508095238095256	3.516	3.564	3.517333333333333	0.01417112299465237	0.5457437718058539	0.5457437718058539	500.0	500	4500.0	0.788	0.18518659234894128	14.544	13249.789	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	8	NaN	NaN	0.13807142857142873	0.015949594450391954	13114.803	0.0	0.0	0.21780000000000035	0.0037129661798038153	0.22065063649222064	0.014732620320855592	0.9852673796791445	0.31342759546583837	0.8619285714285713	0.13807142857142873	3.516	3.554	3.5184444444444445	0.014101604278074832	0.5460707976922067	0.5460707976922067	500.0	500	4500.0	0.706	0.21414220725686306	12.578	13127.381	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	10	NaN	NaN	0.12484761904761912	0.014569324078213897	13275.619	0.0	0.0	0.19545238095238118	0.003302125572859956	0.1969912006812376	0.015128342245989282	0.9848716577540108	0.28146498337649845	0.8751523809523809	0.12484761904761912	3.52	3.526	3.5215555555555556	0.014727272727272705	0.5377386323850996	0.5377386323850996	500.0	500	4500.0	0.768	0.14260971964863217	12.478	13288.097	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	2	1	NaN	NaN	0.1329238095238099	0.011248803296649854	14926.845	0.0	0.0	0.2124857142857144	0.0035247012100398777	0.2140672782874618	0.015117647058823503	0.9848823529411765	0.3043674313214897	0.8670761904761901	0.1329238095238099	3.5	3.694	3.5028888888888887	0.014074866310160413	0.5358517186944901	0.5358517186944901	500.0	500	4500.0	0.68	0.217804135687651	13.126	14939.971	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	2	2	NaN	NaN	0.09928809523809534	0.012786940408518077	14901.649	0.0	0.0	0.16059206349206356	0.0028598300689594877	0.1622228459163626	0.015962566844919743	0.9840374331550803	0.2327818847231729	0.9007119047619047	0.09928809523809534	3.51	3.616	3.5115555555555558	0.01554010695187161	0.5390424079235694	0.5390424079235694	500.0	500	4500.0	0.804	0.25053677623860765	12.267	14913.916	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	2	3	NaN	NaN	0.14504761904761923	0.011950883207874444	15336.743	0.0	0.0	0.22807619047619085	0.003874125390055523	0.23163841807909605	0.01454545454545452	0.9854545454545455	0.32721224772868174	0.8549523809523808	0.14504761904761923	3.516	3.564	3.517333333333333	0.01417112299465237	0.5443723989210566	0.5443723989210566	500.0	500	4500.0	0.788	0.18392509565966003	18.445	15355.188	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	2	4	NaN	NaN	0.08334761904761925	0.011355153867502545	15367.748	0.0	0.0	0.13330952380952377	0.002385524149089725	0.13657142857142857	0.016160427807486583	0.9838395721925134	0.19479565436098886	0.9166523809523808	0.08334761904761925	3.526	3.474	3.5273333333333334	0.016074866310160377	0.5475747759908444	0.5475747759908444	500.0	500	4500.0	0.85	0.30150049708794335	19.264	15387.012	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	2	5	NaN	NaN	0.09454999999999995	0.010184559845539181	15308.506	0.0	0.0	0.15247777777777777	0.0025062886011048674	0.1544159544159544	0.015871657754010657	0.9841283422459893	0.22065541855463963	0.9054500000000001	0.09454999999999995	3.522	3.498	3.5246666666666666	0.015272727272727242	0.541223537276228	0.541223537276228	500.0	500	4500.0	0.74	0.1992499307316713	19.505	15328.011	1.0
