Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	1	NaN	NaN	0.12208095238095255	0.014066697727436123	11343.006	0.0	0.0	0.19764920634920663	0.0035728574633401783	0.20239088128996385	0.015342245989304795	0.9846577540106952	0.28985698632019813	0.8779190476190475	0.12208095238095255	3.5	3.694	3.5028888888888887	0.014288770053475928	0.1826021723064019	0.179241084502336	500.0	500	4500.0	0.732	0.1800075722565652	10.853	11353.859	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	2	NaN	NaN	0.10016904761904766	0.013221598683377103	11484.834	0.0	0.0	0.1623492063492065	0.003148523177000173	0.1650294695481336	0.015909090909090883	0.9840909090909091	0.23768295486363297	0.8998309523809523	0.10016904761904766	3.51	3.616	3.5115555555555558	0.015363636363636331	0.18602794925627367	0.18255110422098206	500.0	500	4500.0	0.838	0.21423095487160304	10.268	11495.102	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	3	NaN	NaN	0.1459023809523813	0.013469787197402343	11420.258	0.0	0.0	0.2301952380952382	0.004548225823176811	0.2344632768361582	0.01449197860962564	0.9855080213903744	0.33242051544638196	0.8540976190476187	0.1459023809523813	3.516	3.564	3.517333333333333	0.014080213903743284	0.165462314982382	0.1621337532753824	500.0	500	4500.0	0.752	0.1531945806495378	10.541	11430.799	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	4	NaN	NaN	0.09198571428571432	0.013909672348666241	11208.778	0.002	0.0	0.14581428571428579	0.0033854463686215355	0.15257142857142858	0.01586096256684488	0.9841390374331551	0.21569965932106935	0.9080142857142857	0.09198571428571432	3.526	3.474	3.5273333333333334	0.0157219251336898	0.19724463425161412	0.1932471523841644	500.0	500	4500.0	0.846	0.2419111842131582	10.408	11219.186	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	5	NaN	NaN	0.09046507936507943	0.01246808055206538	11438.474	0.006	0.0	0.14711904761904762	0.0032127304081724798	0.14871794871794872	0.015978609625668418	0.9840213903743316	0.2189359075867788	0.9095349206349206	0.09046507936507943	3.522	3.498	3.5246666666666666	0.015106951871657719	0.1885466534267826	0.1844031022647174	500.0	500	4500.0	0.814	0.16468828573256214	11.73	11450.204	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	6	NaN	NaN	0.1130976190476191	0.015057724061132233	11356.149	0.0	0.0	0.18236666666666693	0.0032589356881683497	0.18503712164477443	0.015262032085561466	0.9847379679144386	0.27359821630712444	0.8869023809523809	0.1130976190476191	3.524	3.48	3.526666666666667	0.015181818181818152	0.18117099117669438	0.17790921676623925	500.0	500	4500.0	0.778	0.19429118740772378	10.357	11366.506	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	7	NaN	NaN	0.11777619047619065	0.01614618094459985	11434.449	0.0	0.0	0.18902063492063514	0.003460829074043459	0.18926716676283903	0.015026737967914419	0.9849732620320856	0.28749913901962865	0.8822238095238093	0.11777619047619065	3.534	3.398	3.5357777777777777	0.014695187165775383	0.18756360275462086	0.1838411186048652	500.0	500	4500.0	0.83	0.2535337115336224	14.325	11448.774	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	8	NaN	NaN	0.12363809523809524	0.019480833558398723	11458.841	0.01	0.0	0.1952682539682541	0.00386545870903454	0.20424328147100426	0.01504278074866308	0.984957219251337	0.2873974933659246	0.8763619047619048	0.12363809523809524	3.516	3.554	3.5184444444444445	0.01422459893048127	0.1848656359235729	0.18122482273693571	500.0	500	4500.0	0.774	0.2058816769556272	10.422	11469.263	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	9	NaN	NaN	0.1095357142857143	0.022398080016318274	11231.17	0.016	0.0020000000000000018	0.1751190476190479	0.0038068524205049524	0.18364997121473806	0.015165775401069514	0.9848342245989304	0.25930972250155765	0.8904642857142857	0.1095357142857143	3.532	3.416	3.533777777777778	0.014556149732620318	0.19017544249564997	0.1860301882941274	500.0	500	4500.0	0.776	0.1848412331052741	10.253	11241.423	0.998
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	10	NaN	NaN	0.11314523809523822	0.0177321268792763	11295.826	0.002	0.0	0.18094603174603185	0.003782535995148496	0.18677263695713878	0.015320855614973221	0.9846791443850268	0.2688918288941078	0.8868547619047618	0.11314523809523822	3.52	3.526	3.5215555555555556	0.014844919786096216	0.18186858493072322	0.17850902172555852	500.0	500	4500.0	0.788	0.1128788838748717	10.479	11306.305	1.0
