Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	1	NaN	NaN	0.13663333333333336	0.014865409661522819	2376.851	0.0	0.0020000000000000018	0.21767619047619102	0.003456878839143881	0.21907144842924658	0.015021390374331547	0.9849786096256684	0.31199385543430036	0.8633666666666666	0.13663333333333336	3.5	3.694	3.5028888888888887	0.014010695187165769	0.544432783801492	0.544432783801492	500.0	500	4500.0	0.68	0.22553688083001194	1.903	2378.754	0.998
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	2	NaN	NaN	0.09937380952380964	0.012794659145679564	2253.66	0.0	0.0	0.16066349206349215	0.0028598300689594877	0.1622228459163626	0.01596256684491974	0.9840374331550803	0.23278265529868306	0.9006261904761903	0.09937380952380964	3.51	3.616	3.5115555555555558	0.01554010695187161	0.5480067864223723	0.5480067864223723	500.0	500	4500.0	0.804	0.23955598340305698	2.062	2255.722	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	3	NaN	NaN	0.1454809523809526	0.010205337275489825	2332.057	0.0	0.0	0.22851904761904798	0.003888656894356848	0.23220338983050848	0.014534759358288744	0.9854652406417113	0.32759309326735825	0.8545190476190474	0.1454809523809526	3.516	3.564	3.517333333333333	0.014160427807486593	0.5482537259627924	0.5482537259627924	500.0	500	4500.0	0.788	0.1886416129856115	1.775	2333.832	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	4	NaN	NaN	0.0838142857142859	0.012291222333715168	2416.86	0.0	0.0	0.13388095238095235	0.0023954514667159344	0.13714285714285712	0.01614973262032081	0.9838502673796792	0.19539422692884506	0.9161857142857142	0.0838142857142859	3.526	3.474	3.5273333333333334	0.01606951871657749	0.5549770077365982	0.5549770077365982	500.0	500	4500.0	0.85	0.3151470539463662	1.64	2418.5	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	5	NaN	NaN	0.09444999999999995	0.012596638654065809	2292.658	0.0	0.0	0.15234444444444442	0.0025062886011048674	0.1544159544159544	0.015871657754010657	0.9841283422459893	0.22065421303257077	0.9055500000000001	0.09444999999999995	3.522	3.498	3.5246666666666666	0.015272727272727243	0.5364001552819718	0.5364001552819718	500.0	500	4500.0	0.74	0.1985778635333139	1.714	2294.372	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	6	NaN	NaN	0.10254285714285706	0.014524140663682475	2376.37	0.0	0.0	0.16759047619047654	0.0028510887548367603	0.16847515705311253	0.015572192513368976	0.9844278074866311	0.2513123836442582	0.897457142857143	0.10254285714285706	3.524	3.48	3.526666666666667	0.015540106951871649	0.5434292056592901	0.5434292056592901	500.0	500	4500.0	0.802	0.2161646491659532	2.159	2378.529	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	7	NaN	NaN	0.10065714285714292	0.014546899551366876	2477.396	0.0	0.0020000000000000018	0.160004761904762	0.002839252564630815	0.1644547028274668	0.015486631016042753	0.9845133689839572	0.238866689841285	0.8993428571428571	0.10065714285714292	3.534	3.398	3.5357777777777777	0.015101604278074835	0.566576143987561	0.566576143987561	500.0	500	4500.0	0.904	0.26845735283443967	1.787	2479.183	0.998
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	8	NaN	NaN	0.15760952380952412	0.027981810521331925	2487.114	0.0	0.0	0.24072380952380956	0.0037705021201080635	0.24384724186704385	0.014294117647058784	0.9857058823529412	0.3336003201364997	0.8423904761904759	0.15760952380952412	3.516	3.554	3.5184444444444445	0.01375935828877001	0.5514302833435795	0.5514302833435795	500.0	500	4500.0	0.706	0.20656692708083182	1.799	2488.913	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	9	NaN	NaN	0.13576904761904757	0.017053261634865823	2359.326	0.0	0.0	0.21270158730158756	0.0034415407467101727	0.21704087507196315	0.014545454545454521	0.9854545454545455	0.3009803901191164	0.8642309523809524	0.13576904761904757	3.532	3.416	3.533777777777778	0.01399999999999997	0.5675836006074765	0.5675836006074765	500.0	500	4500.0	0.718	0.20617540395014233	1.755	2361.081	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Corel5k: -C -374	1	10	NaN	NaN	0.12489523809523817	0.014593637221887114	2347.469	0.0	0.0	0.19552380952380974	0.003302125572859956	0.1969912006812376	0.015128342245989282	0.9848716577540108	0.28146542052257256	0.8751047619047618	0.12489523809523817	3.52	3.526	3.5215555555555556	0.014727272727272705	0.5413147197408273	0.5413147197408273	500.0	500	4500.0	0.768	0.1475962313913897	1.773	2349.242	1.0
