Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	1	1	0.07612629241651421	0.7416197527947836	0.17682249447659928	0.026346702325762784	14690.209	0.0	0.0	0.28962587590165073	0.03411159005958168	0.3024597254639529	0.02699321976645336	0.9730067802335466	NaN	0.8231775055234007	0.17682249447659928	18.950577424562276	19.089283496833477	18.950695479384002	0.02639671383594379	0.4202515269591227	0.4202515269591227	8053.0	8053	8052.0	0.5347075623991059	0.11781627776110928	85.513	14775.722	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	1	2	0.07473045934981458	0.741827598490608	0.17301441843344348	0.026474553904746262	14675.068	0.0	0.0	0.28406130268082996	0.03402456013180002	0.29950637275386544	0.02710813082208792	0.972891869177912	NaN	0.8269855815665565	0.17301441843344348	19.090039741679085	18.950695479384002	19.089283496833477	0.026493357772646796	0.41928484844188996	0.41928484844188996	8052.0	8052	8053.0	0.5509190263288624	0.11991391470544845	71.653	14746.721	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	2	1	0.07561505980792887	0.7389998012010361	0.17407169882117357	0.026585167219265456	14895.341	0.0	0.0	0.28574315059696576	0.03237376485729354	0.29703429252289165	0.027203171663214613	0.9727968283367854	NaN	0.8259283011788264	0.17407169882117357	18.950577424562276	19.089283496833477	18.950695479384002	0.02658127443833138	0.4225490413928788	0.4225490413928788	8053.0	8053	8052.0	0.5344592077486651	0.1196219900291767	67.348	14962.689	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	2	2	0.07362276647621376	0.7409764411907866	0.17312113337245089	0.02668513546979263	14721.941	0.0	0.0	0.2842510302856685	0.033432612187332664	0.29891249342957976	0.02713049309700602	0.972869506902994	NaN	0.8268788666275491	0.17312113337245089	19.08917039244908	18.950695479384002	19.089283496833477	0.026502075269648828	0.42129606631999666	0.42129606631999666	8052.0	8052	8053.0	0.5524093392945852	0.1211540832265068	61.699	14783.64	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	3	1	0.075528372859762	0.7395616881661583	0.17384040434124348	0.026617737650949706	14342.2	0.0	0.0	0.2855513377107249	0.03261766643928432	0.29676008291576217	0.02721378295041553	0.9727862170495845	NaN	0.8261595956587565	0.17384040434124348	18.950577424562276	19.089283496833477	18.950695479384002	0.02659984419093311	0.42282746401732973	0.42282746401732973	8053.0	8053	8052.0	0.5354526263504285	0.119632166749035	62.745	14404.945	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	3	2	0.07447579213280657	0.7418978311432064	0.17371795836311602	0.02687134450138211	14541.186	0.0	0.0	0.2849256531327456	0.03497974689305838	0.300917083745515	0.027052920007742287	0.9729470799922577	NaN	0.826282041636884	0.17371795836311602	19.08917039244908	18.950695479384002	19.089283496833477	0.026444084963505407	0.4216850012845996	0.4216850012845996	8052.0	8052	8053.0	0.550173869846001	0.12057792651729313	87.131	14628.317	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	4	1	0.07446948359349483	0.7388179271685288	0.17516435532090338	0.026269824236783403	14383.885	0.0	0.0	0.2872078729441762	0.03357535243439513	0.3001746454045408	0.02708164715979444	0.9729183528402056	NaN	0.8248356446790966	0.17516435532090338	18.950577424562276	19.089283496833477	18.950695479384002	0.026476298489950815	0.4241471934626222	0.4241471934626222	8053.0	8053	8052.0	0.535328449025208	0.11955976473036377	116.489	14500.374	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	4	2	0.07301045382449008	0.7402963724714541	0.17209713512757938	0.026664273326041637	14434.873	0.0	0.0	0.28293394537825145	0.032819798790128925	0.2973519166038192	0.027190883873338376	0.9728091161266617	NaN	0.8279028648724206	0.17209713512757938	19.08917039244908	18.950695479384002	19.089283496833477	0.026553874889515362	0.42567889117687985	0.42567889117687985	8052.0	8052	8053.0	0.5540238450074516	0.12184398520568136	76.675	14511.548	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	5	1	0.07479490206737764	0.7398704921647457	0.17231620677971807	0.02653234928403829	14644.815	0.0	0.0	0.28216561354206926	0.031399601639007714	0.2972030711375744	0.02719672909598538	0.9728032709040146	NaN	0.827683793220282	0.17231620677971807	18.950701601887495	19.089283496833477	18.950695479384002	0.02656965255234945	0.42746840592221996	0.42746840592221996	8053.0	8053	8052.0	0.536818576927853	0.1213374096993799	53.806	14698.621	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	delicious: -C -983	5	2	0.07342036959002465	0.7387603670838137	0.1723293509285787	0.026820337236371266	14833.336	0.0	0.0	0.28319478331143677	0.032976842358705544	0.2984012353941737	0.02715045490173501	0.972849545098265	NaN	0.8276706490714213	0.1723293509285787	19.08941877794337	18.950695479384002	19.089283496833477	0.026526079971538146	0.4203843746682628	0.4203843746682628	8052.0	8052	8053.0	0.5525335320417287	0.12298540119569627	58.941	14892.277	1.0
