Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	1	NaN	NaN	0.35190058479532177	0.06141074994338592	7200.152	0.0	0.0	0.5058357172392259	0.063352619241476	0.523344191096634	0.048438706829968085	0.9515612931700319	0.8840301077096442	0.6480994152046782	0.35190058479532177	3.543859649122807	1.8421052631578947	3.5499673416067927	0.047776674390378554	0.42133643609557714	0.4146700280118145	171.0	171	1531.0	0.8128654970760234	0.04866332089227673	4.315	7204.467	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	2	NaN	NaN	0.36161932609301034	0.15723311290200315	7324.28	0.0	0.005847953216374324	0.4920965324474097	0.07078467311385753	0.5126903553299491	0.06355511420059588	0.9364448857994041	0.6144901515733948	0.6383806739069897	0.36161932609301034	3.3508771929824563	3.56140350877193	3.3579359895493144	0.05936224208319548	0.3534058277384844	0.3516717912999987	171.0	171	1531.0	0.36257309941520466	0.10679758579146374	5.465	7329.745	0.9941520467836257
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	3	NaN	NaN	0.3556232492997199	0.11553768707460747	7027.886	0.0	0.00588235294117645	0.48849333672863093	0.06892904089670919	0.5094017094017094	0.0637069922308547	0.9362930077691453	0.6174112146361348	0.6443767507002801	0.3556232492997199	3.3529411764705883	3.5294117647058822	3.3616187989556137	0.061376248612652694	0.33529664628200717	0.33343981540353956	170.0	170	1532.0	0.4	0.08615308136123132	7.61	7035.496	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	4	NaN	NaN	0.387247899159664	0.11233443176362044	7255.502	0.0	0.0	0.5227119938884646	0.0773597161171263	0.5439330543933054	0.060488346281909085	0.9395116537180909	0.6390230615920094	0.612752100840336	0.387247899159664	3.335294117647059	3.6941176470588237	3.343342036553525	0.0588235294117648	0.3333482251224097	0.33032484269924345	170.0	170	1532.0	0.3176470588235294	0.0767768301735954	8.706	7264.208	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	5	NaN	NaN	0.3821732026143792	0.09348520959285933	7208.447	0.0	0.00588235294117645	0.5207779475426533	0.08725343479446485	0.5370051635111875	0.059711431742508425	0.9402885682574915	0.6572168683207557	0.6178267973856209	0.3821732026143792	3.364705882352941	3.4705882352941178	3.368146214099217	0.057713651498335274	0.4122286866019579	0.4092561593723773	170.0	170	1532.0	0.3352941176470588	0.10912555567711056	5.512	7213.959	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	6	NaN	NaN	0.3778851540616248	0.10219948604956353	7189.451	0.0	0.00588235294117645	0.5139321789321791	0.09187166258040673	0.5339207048458149	0.05871254162042185	0.9412874583795782	0.6676122768346765	0.6221148459383752	0.3778851540616248	3.388235294117647	3.288235294117647	3.3883812010443863	0.05738068812430642	0.3926072338876247	0.3817852598285292	170.0	170	1532.0	0.3941176470588235	0.10218229181952074	9.082	7198.533	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	7	NaN	NaN	0.39323126220185034	0.12783944013887052	7324.747	0.0	0.00588235294117645	0.529833042774219	0.0826776167100051	0.5386576040781649	0.06026637069922315	0.9397336293007769	0.6601664550830081	0.6067687377981497	0.39323126220185034	3.3529411764705883	3.570588235294118	3.3570496083550916	0.05715871254162049	0.36339815948361437	0.3591458141394592	170.0	170	1532.0	0.27058823529411763	0.0862371303344745	5.356	7330.103	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	8	NaN	NaN	0.3603781512605044	0.1300901507816296	7190.152	0.0	0.0	0.4920732535438416	0.08386072624799984	0.5248573757131215	0.06470588235294134	0.9352941176470586	0.6011558836564624	0.6396218487394956	0.3603781512605044	3.3117647058823527	3.9058823529411764	3.3198433420365534	0.057713651498335336	0.3300369114651638	0.32494762346931116	170.0	170	1532.0	0.5764705882352941	0.0813424181141084	7.684	7197.836	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	9	NaN	NaN	0.3332609710550888	0.1271030850121305	7261.525	0.0	0.0117647058823529	0.45703166114930827	0.0731378607821283	0.4707933740191805	0.06736958934517208	0.9326304106548279	0.5874401164037646	0.6667390289449112	0.3332609710550888	3.376470588235294	3.3705882352941177	3.379242819843342	0.0645948945615983	0.3687524610656543	0.36179591858761667	170.0	170	1532.0	0.3411764705882353	0.10769388492169663	5.426	7266.951	0.9882352941176471
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	1	10	NaN	NaN	0.35040616246498624	0.11508269505809952	7257.684	0.0	0.0	0.4882860276977922	0.09650589925890836	0.5123404255319148	0.06359600443951172	0.9364039955604883	0.6181353054165515	0.6495938375350138	0.35040616246498624	3.3529411764705883	3.5588235294117645	3.358355091383812	0.06193118756936743	0.35567518213821925	0.3544436075170306	170.0	170	1532.0	0.36470588235294116	0.10061961381343676	6.547	7264.231	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	1	NaN	NaN	0.34653996101364537	0.0804609148967875	7365.427	0.0	0.0	0.4978587039990547	0.0663966396477072	0.5168295331161781	0.049100739269557644	0.9508992607304424	0.8777474109195473	0.6534600389863546	0.34653996101364537	3.543859649122807	1.8421052631578947	3.5499673416067927	0.04832836809003652	0.42012612101177527	0.4108310574304789	171.0	171	1531.0	0.7719298245614035	0.04889743101321316	3.965	7369.392	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	2	NaN	NaN	0.3606701940035274	0.1068035613833094	7181.477	0.0	0.005847953216374324	0.4908031864172214	0.06897333300761062	0.509306260575296	0.06399646916032223	0.9360035308396778	0.6128704940366896	0.6393298059964726	0.3606701940035274	3.3508771929824563	3.56140350877193	3.3579359895493144	0.059913935782853416	0.3651393579171351	0.36273142311802453	171.0	171	1531.0	0.39766081871345027	0.10416548219496546	4.667	7186.144	0.9941520467836257
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	3	NaN	NaN	0.3586904761904761	0.1251554914024639	7335.834	0.0	0.0	0.4922871572871574	0.06529619399399034	0.5111111111111111	0.06348501664816877	0.9365149833518313	0.6216270618112537	0.6413095238095239	0.3586904761904761	3.3529411764705883	3.5294117647058822	3.3616187989556137	0.061154273029966774	0.34011160173009286	0.33712365776166425	170.0	170	1532.0	0.3764705882352941	0.08531306955993369	3.902	7339.736	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	4	NaN	NaN	0.39401960784313733	0.11660007081294177	7306.309	0.0	0.0	0.5283910533910532	0.07879857758417408	0.5506276150627615	0.05960044395116547	0.9403995560488345	0.6414218827761818	0.6059803921568627	0.39401960784313733	3.335294117647059	3.6941176470588237	3.343342036553525	0.05793562708102118	0.330054896563762	0.3282522098041889	170.0	170	1532.0	0.2823529411764706	0.0753129764247631	4.056	7310.365	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	5	NaN	NaN	0.385373482726424	0.10358467808274077	7359.257	0.0	0.00588235294117645	0.5247695441813088	0.08569714372491319	0.5387263339070567	0.0594894561598225	0.9405105438401775	0.6595886893078636	0.614626517273576	0.385373482726424	3.364705882352941	3.4705882352941178	3.368146214099217	0.05738068812430639	0.40321264148431385	0.4005384315742137	170.0	170	1532.0	0.3058823529411765	0.10774152254933252	3.847	7363.104	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	6	NaN	NaN	0.38907563025210096	0.10479099616370763	7320.844	0.0	0.00588235294117645	0.5245344198285375	0.09641999069438484	0.5449735449735451	0.05726970033296349	0.9427302996670365	0.6760378455437703	0.610924369747899	0.38907563025210096	3.3823529411764706	3.288235294117647	3.3883812010443863	0.05593784683684805	0.3996913842061153	0.39284335473092225	170.0	170	1532.0	0.38235294117647056	0.10136882869815499	4.411	7325.255	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	7	NaN	NaN	0.38848803157626693	0.12153380802425641	7182.898	0.0	0.0	0.5279834544540426	0.08345494221634425	0.5386576040781649	0.06026637069922315	0.9397336293007769	0.662209900383488	0.6115119684237331	0.38848803157626693	3.3529411764705883	3.570588235294118	3.3570496083550916	0.05715871254162048	0.36583201118543307	0.36095355279436375	170.0	170	1532.0	0.3058823529411765	0.08740904588829013	4.988	7187.886	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	8	NaN	NaN	0.3712815126050421	0.11742888440978788	7367.604	0.0	0.0	0.5024997877939054	0.08418143433790073	0.5378973105134476	0.06293007769145408	0.9370699223085459	0.6086402316985711	0.6287184873949578	0.3712815126050421	3.3117647058823527	3.9058823529411764	3.3198433420365534	0.055826859045505134	0.3336229466470438	0.3285812366962872	170.0	170	1532.0	0.6	0.08399198481993037	3.97	7371.574	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	9	NaN	NaN	0.3341783380018674	0.10443080512931345	7168.244	0.0	0.00588235294117645	0.4579568797215857	0.0755329182092678	0.47469458987783597	0.06681465038845733	0.9331853496115426	0.5886040913712778	0.6658216619981325	0.3341783380018674	3.3705882352941177	3.3705882352941177	3.379242819843342	0.06403995560488353	0.3696005953094085	0.3634374638956226	170.0	170	1532.0	0.3764705882352941	0.10724131409142679	4.601	7172.845	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	2	10	NaN	NaN	0.3375560224089637	0.10411940212068334	7300.272	0.0	0.0	0.4730965113318053	0.08724868964794494	0.4936170212765958	0.06603773584905667	0.9339622641509433	0.6034692756580973	0.6624439775910362	0.3375560224089637	3.3529411764705883	3.5588235294117645	3.358355091383812	0.06415094339622648	0.36218924779805706	0.35936856097354136	170.0	170	1532.0	0.38823529411764707	0.10020351486848346	4.986	7305.258	1.0
