Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	1	NaN	NaN	0.14925373134328357	0.052689107152459745	1061.306	0.04477611940298507	0.02985074626865669	0.19353233830845767	0.05936300446104368	0.23391812865497075	0.07241569928137095	0.9275843007186291	0.25675570575807505	0.8507462686567164	0.14925373134328357	1.2835820895522387	1.2686567164179106	1.250420168067227	0.07131011608623551	1.1005536110246876	0.9075319072498905	67.0	67	595.0	0.9104477611940298	0.17531395419779583	0.384	1061.69	0.9701492537313433
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	2	NaN	NaN	0.41293532338308453	0.04764984600805494	1057.774	0.0	0.0	0.5522388059701494	0.03576051998899398	0.5628140703517588	0.048092868988391366	0.9519071310116086	0.809794700951326	0.5870646766169154	0.41293532338308453	1.9402985074626866	1.0298507462686568	1.2773109243697478	0.048092868988391366	1.146557222153478	0.9167145061566276	67.0	67	595.0	0.9701492537313433	0.059862227324913884	0.341	1058.115	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	3	NaN	NaN	0.23484848484848486	0.07468064468463192	1056.594	0.2727272727272727	0.0757575757575758	0.2878787878787879	0.035334184759472115	0.29378531073446323	0.07014590347923688	0.9298540965207631	0.3639334521687463	0.7651515151515151	0.23484848484848486	1.2121212121212122	1.4696969696969697	1.2281879194630871	0.07014590347923688	1.0055748743235466	0.8417768541201756	66.0	66	596.0	0.8484848484848485	0.14055947858319393	0.354	1056.948	0.9242424242424242
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	4	NaN	NaN	0.10822510822510822	0.06769964713415745	1031.753	0.015151515151515152	0.030303030303030276	0.13690476190476192	0.057766721945826424	0.1686746987951807	0.07744107744107745	0.9225589225589226	0.18326454943969364	0.8917748917748918	0.10822510822510822	1.2575757575757576	1.2575757575757576	1.2516778523489933	0.07744107744107745	1.1498817052424977	0.9853205279259049	66.0	66	596.0	0.9242424242424242	0.2259326868417778	0.368	1032.121	0.9696969696969697
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	5	NaN	NaN	0.3005050505050505	0.061207769047622686	1051.473	0.0	0.25757575757575757	0.31767676767676767	0.08312757201646091	0.3057324840764331	0.061167227833894465	0.9388327721661055	0.33480440074367973	0.6994949494949495	0.3005050505050505	1.2424242424242424	1.1363636363636365	1.2651006711409396	0.06060606060606057	1.290930425940667	1.0466146769616775	66.0	66	596.0	0.6363636363636364	0.14559505309505305	0.336	1051.809	0.7424242424242424
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	6	NaN	NaN	0.125	0.0875753003125411	1060.96	0.0	0.030303030303030276	0.15757575757575756	0.03148148148148148	0.18749999999999997	0.0729517396184063	0.9270482603815937	0.2160504475494988	0.875	0.125	1.3333333333333333	1.0909090909090908	1.2701342281879195	0.07126823793490462	0.8363721220281616	0.7525071448343945	66.0	66	596.0	0.7878787878787878	0.10253367003366994	0.341	1061.301	0.9696969696969697
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	7	NaN	NaN	0.09267676767676768	0.06568221475577404	1026.575	0.12121212121212122	0.0	0.1272727272727273	0.07366255144032922	0.16969696969696968	0.07687991021324359	0.9231200897867564	0.17578274193906748	0.9073232323232323	0.09267676767676768	1.2424242424242424	1.2575757575757576	1.2516778523489933	0.07631874298540968	1.314975292909775	1.0808371466835713	66.0	66	596.0	0.803030303030303	0.22029565442608925	0.422	1026.997	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	8	NaN	NaN	0.09722222222222222	0.05662458418015061	1024.769	0.0	0.015151515151515138	0.1272727272727273	0.05026455026455027	0.15950920245398773	0.07687991021324357	0.9231200897867564	0.1762609327398389	0.9027777777777778	0.09722222222222222	1.2575757575757576	1.2121212121212122	1.2567114093959733	0.07687991021324357	1.229499095727095	1.048218912069488	66.0	66	596.0	0.8787878787878788	0.12964711214711214	0.583	1025.352	0.9848484848484849
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	9	NaN	NaN	0.17676767676767677	0.08992491431163638	1059.75	0.0	0.10606060606060608	0.202020202020202	0.057896644198014054	0.18478260869565216	0.08417508417508417	0.9158249158249159	0.24482129921291884	0.8232323232323232	0.17676767676767677	1.2878787878787878	1.5	1.2248322147651007	0.079685746352413	1.0282612679472323	0.8553385366615668	66.0	66	596.0	0.8636363636363636	0.18486653041000856	0.345	1060.095	0.8939393939393939
meka.classifiers.multilabel.MULANedit -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	protein: -C -27	1	10	NaN	NaN	0.25757575757575757	0.09899887048522925	1036.708	0.015151515151515152	0.18181818181818177	0.28535353535353536	0.10931773879142301	0.27544910179640714	0.0679012345679012	0.9320987654320988	0.32578809855199864	0.7424242424242424	0.25757575757575757	1.2272727272727273	1.303030303030303	1.2466442953020134	0.0673400673400673	1.3394698983385247	1.1197021632783155	66.0	66	596.0	0.6515151515151515	0.22596153846153852	0.387	1037.095	0.8181818181818182
