Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	1	NaN	NaN	0.6313969571230983	0.43852005532503424	387.489	0.0954356846473029	0.5311203319502075	0.6651452282157677	0.35807952201433646	0.6905660377358491	0.11341632088520064	0.8865836791147994	0.6915234143449909	0.3686030428769017	0.6313969571230983	1.062240663900415	1.1369294605809128	1.066943674976916	0.11341632088520064	0.3200542518941213	0.26120143985134076	241.0	241	2166.0	0.29045643153526973	0.09045643153526964	0.035	387.524	0.46887966804979253
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	2	NaN	NaN	0.7835408022130015	0.38946519133241186	357.498	0.058091286307053944	0.7178423236514523	0.8063623789764864	0.35792327110156563	0.8101761252446184	0.06708160442600278	0.9329183955739973	0.8309820193637616	0.21645919778699851	0.7835408022130015	1.0746887966804979	1.045643153526971	1.077100646352724	0.06569847856154912	0.19570278527521526	0.14361854456113654	241.0	241	2166.0	0.16597510373443983	0.05014983863531581	0.039	357.537	0.2821576763485477
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	3	NaN	NaN	0.7095435684647303	0.4332987551867225	358.969	0.07053941908713693	0.6348547717842323	0.734439834024896	0.3313131313131313	0.7533980582524271	0.08782849239280782	0.9121715076071921	0.7574919317657903	0.2904564315352697	0.7095435684647303	1.070539419087137	1.066390041493776	1.074792243767313	0.08713692946058099	0.2651341096950229	0.1997001159632919	241.0	241	2166.0	0.21161825726141079	0.08609958506224062	0.039	359.008	0.3651452282157676
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	4	NaN	NaN	0.533195020746888	0.3707468879668057	339.054	0.08713692946058091	0.4730290456431535	0.5532503457814661	0.24296788482834994	0.5831702544031311	0.14730290456431536	0.8526970954356846	0.5753803596127245	0.46680497925311204	0.533195020746888	1.070539419087137	1.049792531120332	1.0766389658356417	0.14384508990318115	0.4388818003773196	0.30015071665497883	241.0	241	2166.0	0.4149377593360996	0.13516597510373426	0.042	339.096	0.5269709543568465
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	5	NaN	NaN	0.6597510373443983	0.2760027662517286	379.759	0.08713692946058091	0.5809128630705394	0.6860304287690179	0.2565075752852422	0.7077534791252484	0.10165975103734447	0.8983402489626555	0.7183033656062698	0.34024896265560167	0.6597510373443983	1.0746887966804979	1.012448132780083	1.0807940904893814	0.10096818810511764	0.29328901939157803	0.23157873095782158	241.0	241	2166.0	0.24896265560165975	0.07541493775933601	0.046	379.805	0.4190871369294606
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	6	NaN	NaN	0.6701244813278008	0.4169432918395576	369.52	0.06224066390041494	0.5809128630705394	0.6998616874135547	0.3904485748893416	0.7112810707456978	0.10442600276625172	0.8955739972337483	0.7229137851544487	0.3298755186721992	0.6701244813278008	1.066390041493776	1.103734439834025	1.0706371191135735	0.10304287690179804	0.3234569784932339	0.23674267259243365	241.0	241	2166.0	0.24896265560165975	0.08547717842323649	0.044	369.564	0.4190871369294606
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	7	NaN	NaN	0.7372060857538035	0.4071576763485483	382.151	0.06639004149377593	0.6680497925311204	0.7607192254495156	0.3657784506396345	0.7728155339805826	0.08091286307053946	0.9190871369294605	0.784601198709082	0.26279391424619647	0.7372060857538035	1.070539419087137	1.066390041493776	1.074792243767313	0.08091286307053946	0.22277041530015515	0.17585775509803145	241.0	241	2166.0	0.2033195020746888	0.06151452282157675	0.045	382.196	0.33195020746887965
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	8	NaN	NaN	0.7451388888888888	0.45809027777777805	383.53	0.07083333333333333	0.6666666666666667	0.7715277777777775	0.35609174793897286	0.7931034482758621	0.075	0.925	0.7920138888888885	0.2548611111111112	0.7451388888888888	1.0666666666666667	1.1083333333333334	1.0701430549146285	0.075	0.22445487127392194	0.17768226942920295	240.0	240	2167.0	0.1625	0.053333333333333316	0.045	383.575	0.3333333333333333
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	9	NaN	NaN	0.7236111111111112	0.32552083333333337	376.609	0.1	0.6291666666666667	0.7547222222222222	0.276876625112391	0.7907869481765835	0.07569444444444441	0.9243055555555556	0.7818121693121689	0.2763888888888888	0.7236111111111112	1.0666666666666667	1.1041666666666667	1.0706045223811722	0.07569444444444441	0.23754041209197244	0.19793658063064706	240.0	240	2167.0	0.17083333333333334	0.04874999999999997	0.038	376.647	0.37083333333333335
meka.classifiers.multilabel.MULANedit -S BPMLLwD1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	10	NaN	NaN	0.4743055555555556	0.316770833333334	389.963	0.13333333333333333	0.3833333333333333	0.5048611111111115	0.29302404098453905	0.5511811023622047	0.15833333333333327	0.8416666666666668	0.5404629629629625	0.5256944444444445	0.4743055555555556	1.0708333333333333	1.0458333333333334	1.0770650669127826	0.15833333333333327	0.44732235556359384	0.3312798157801931	240.0	240	2167.0	0.44583333333333336	0.15468749999999992	0.034	389.997	0.6166666666666667
