Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	1	NaN	NaN	0.4827109266943292	0.5006915629322268	2509.061	0.2157676348547718	0.3775933609958506	0.5183955739972339	0.3223294892092846	0.5811320754716981	0.1535269709543569	0.846473029045643	0.5585885529868929	0.5172890733056708	0.4827109266943292	1.062240663900415	1.1369294605809128	1.066943674976916	0.15214384508990325	0.4767854084686949	0.4501493844440436	241.0	241	2166.0	0.34439834024896265	0.11867219917012434	2.004	2511.065	0.6224066390041494
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	2	NaN	NaN	0.48063623789764864	0.437816966343938	2519.27	0.26141078838174275	0.3070539419087137	0.5387275242047027	0.2935412007420121	0.6223091976516634	0.13347164591977884	0.8665283540802211	0.6115721530659284	0.5193637621023514	0.48063623789764864	1.0746887966804979	1.045643153526971	1.077100646352724	0.132780082987552	0.4819197094546762	0.348597636848769	241.0	241	2166.0	0.2697095435684647	0.07271784232365142	1.712	2520.982	0.6929460580912863
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	3	NaN	NaN	0.6300138312586446	0.47420470262793923	2520.628	0.14107883817427386	0.5228215767634854	0.6659751037344397	0.31217232521774885	0.7106796116504854	0.10304287690179813	0.8969571230982019	0.7051175656984783	0.36998616874135537	0.6300138312586446	1.070539419087137	1.066390041493776	1.074792243767313	0.10096818810511762	0.3625446545624419	0.3256636442487737	241.0	241	2166.0	0.23651452282157676	0.08921161825726136	1.702	2522.33	0.47717842323651455
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	4	NaN	NaN	0.42392807745504835	0.3631051175656993	2513.895	0.16597510373443983	0.32365145228215764	0.45781466113416364	0.23901076072956914	0.5127201565557729	0.17219917012448138	0.8278008298755186	0.4979944674965417	0.5760719225449517	0.42392807745504835	1.070539419087137	1.049792531120332	1.0766389658356417	0.16666666666666674	0.5001576847635507	0.4192001955927132	241.0	241	2166.0	0.5103734439834025	0.13246887966804957	1.417	2515.312	0.6763485477178424
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	5	NaN	NaN	0.2579529737206086	0.32261410788381845	2497.189	0.24481327800829875	0.1410788381742739	0.29806362378976486	0.17200270178993582	0.3737574552683896	0.2178423236514523	0.7821576763485477	0.3521207929921618	0.7420470262793915	0.2579529737206086	1.0746887966804979	1.012448132780083	1.0807940904893814	0.21715076071922546	0.583004955659127	0.5033522984952129	241.0	241	2166.0	0.6721991701244814	0.20238589211618266	1.952	2499.141	0.8589211618257261
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	6	NaN	NaN	0.47302904564315346	0.4654564315352697	2512.716	0.2033195020746888	0.34439834024896265	0.5172890733056711	0.35453988196861835	0.5736137667304015	0.15421853388658366	0.8457814661134163	0.5643845089903178	0.5269709543568466	0.47302904564315346	1.066390041493776	1.103734439834025	1.0706371191135735	0.15283540802213	0.5123289473311532	0.4550232911458841	241.0	241	2166.0	0.3278008298755187	0.10829875518672188	1.77	2514.486	0.6556016597510373
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	7	NaN	NaN	0.533195020746888	0.4857538035961278	2503.343	0.1908713692946058	0.39004149377593356	0.5809128630705398	0.29078068554428493	0.6407766990291262	0.1279391424619642	0.8720608575380357	0.6371599815583213	0.46680497925311204	0.533195020746888	1.070539419087137	1.066390041493776	1.074792243767313	0.1279391424619642	0.4268353191249435	0.34020575990754204	241.0	241	2166.0	0.29045643153526973	0.08298755186721987	1.68	2505.023	0.6099585062240664
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	8	NaN	NaN	0.6291666666666668	0.5102777777777779	2508.541	0.15833333333333333	0.525	0.6645833333333331	0.3562053896155901	0.7203065134099617	0.10138888888888896	0.898611111111111	0.701643518518518	0.37083333333333324	0.6291666666666668	1.0666666666666667	1.1083333333333334	1.0701430549146285	0.1006944444444445	0.3349301537724928	0.314946038216851	240.0	240	2167.0	0.22916666666666666	0.0829166666666666	1.917	2510.458	0.475
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	9	NaN	NaN	0.5131944444444445	0.3630555555555562	2501.035	0.18333333333333332	0.39583333333333337	0.5527777777777784	0.2457729468599034	0.6026871401151631	0.14375000000000016	0.8562499999999998	0.5928240740740736	0.4868055555555555	0.5131944444444445	1.0666666666666667	1.1041666666666667	1.0706045223811722	0.13750000000000015	0.4325803634320406	0.3896472939561591	240.0	240	2167.0	0.3541666666666667	0.1043749999999999	1.578	2502.613	0.6041666666666666
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Scene: -C 6 -R	1	10	NaN	NaN	0.3368055555555555	0.34427083333333397	2504.756	0.2875	0.17083333333333328	0.3937500000000003	0.2628790031119715	0.484251968503937	0.18194444444444433	0.8180555555555556	0.4649305555555549	0.6631944444444444	0.3368055555555555	1.0708333333333333	1.0458333333333334	1.0770650669127826	0.18124999999999986	0.5708100883959017	0.4904805983848945	240.0	240	2167.0	0.5375	0.15322916666666664	1.466	2506.222	0.8291666666666667
