Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	1	1	0.03861418272362424	0.617221780159034	0.0037214342106548512	0.04855284056166074	8382.682	0.0	0.0	0.005902530430013277	2.5082390963511485E-4	0.0068682091988965825	0.030002619127797357	0.9699973808722027	0.007659150442661262	0.9962785657893451	0.0037214342106548512	2.366143861546782	2.4372633856138455	2.3665133892345143	0.02910633318707113	4.823426375807601	4.049429139849754	3698.0	3698	3697.0	0.9913466738777718	0.4398057944944501	34.302	8416.984	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	1	2	0.040403001389430496	0.6409318327673422	0.004729696865212147	0.03903998094461221	8045.169	0.0	0.0	0.007426576969449566	3.1307288661285227E-4	0.008446421532743961	0.02995629636812521	0.9700437036318748	0.011155910726671492	0.9952703031347878	0.004729696865212147	2.437111171219908	2.3665133892345143	2.4372633856138455	0.02947996250572101	5.0267794099024306	4.113778207790539	3697.0	3697	3698.0	0.9926967811739248	0.44386786829460345	39.014	8084.183	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	2	1	0.03256601858625853	0.5903011837619432	0.005239178224575734	0.042822873286336084	8632.012	0.0	0.0	0.008499976851657787	4.266776826557638E-4	0.01035861059505714	0.029897173723005897	0.9701028262769941	0.011571441736820063	0.9947608217754242	0.005239178224575734	2.366143861546782	2.4372633856138455	2.3665133892345143	0.029444778921804467	5.2164732826190425	4.412497481757245	3698.0	3698	3697.0	0.9899945916711737	0.4447217138814813	34.567	8666.579	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	2	2	0.019351751587432037	0.4995432994513784	0.0064338788371788086	0.03842335146037365	8803.15	0.0	0.0	0.010073883079022374	4.51031582974731E-4	0.011261895376991947	0.029871236749838707	0.9701287632501613	0.015455414269251028	0.9935661211628212	0.0064338788371788086	2.437111171219908	2.3665133892345143	2.4372633856138455	0.02926220988290763	5.280052155310057	4.477245238354422	3697.0	3697	3698.0	0.9902623748985664	0.4398221855736328	38.158	8841.308	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	3	1	0.03829548808715462	0.6177185116515748	0.00625864805826947	0.04822335881274853	7746.618	0.0	0.0	0.00984397315309908	4.426874103080028E-4	0.011484546529302482	0.029863159076298704	0.9701368409237013	0.015569119689511263	0.9937413519417305	0.00625864805826947	2.366143861546782	2.4372633856138455	2.3665133892345143	0.029240691041562922	5.222044240657695	4.3781531198315005	3698.0	3698	3697.0	0.9902650081124933	0.4406089928016372	32.672	7779.29	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	3	2	0.040055004643252005	0.6344527478518214	0.005583976628066427	0.03997383241081547	7780.875	0.0	0.0	0.009222426357941628	4.610307669170801E-4	0.012162847007151303	0.02984401767198707	0.9701559823280129	0.012202758631786352	0.9944160233719336	0.005583976628066427	2.437111171219908	2.3665133892345143	2.4372633856138455	0.02927752061419922	4.991635655949995	4.113762689525602	3697.0	3697	3698.0	0.9935082499323776	0.44220691535295853	33.3	7814.175	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	4	1	0.04117681437080377	0.6395107657558821	0.005000782373686644	0.04412016802677511	6841.3	0.002163331530557058	0.0	0.008272401836490525	5.247557989040618E-4	0.012272701683274222	0.029839348823603895	0.970160651176396	0.011441496112313551	0.9949992176263134	0.005000782373686644	2.366143861546782	2.4372633856138455	2.3665133892345143	0.029184566874496578	4.87700084843145	4.085065519915233	3698.0	3698	3697.0	0.984586262844781	0.44124556171118456	41.107	6882.407	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	4	2	0.019342705248547806	0.49591294503645744	0.008750660123394767	0.039969762151400405	6927.453	0.0	2.70489586150946E-4	0.013043790579630446	4.761767409052296E-4	0.011712371192071627	0.029857627210912795	0.9701423727890872	0.021100406164414835	0.9912493398766052	0.008750660123394767	2.437111171219908	2.3665133892345143	2.4372633856138455	0.029090389453968916	5.220322967238847	4.389784853506476	3697.0	3697	3698.0	0.9940492291046795	0.4359656711250534	34.686	6962.139	0.999729510413849
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	5	1	0.03916162310481919	0.6252431623939324	0.0057427013599247925	0.03625323169670343	7851.007	0.0	0.0	0.009436221839452691	4.962459239541616E-4	0.013173450430670494	0.02981213710623872	0.9701878628937612	0.013232988055306674	0.9942572986400752	0.0057427013599247925	2.366143861546782	2.4372633856138455	2.3665133892345143	0.02941416573976829	4.9954240792750095	4.16277418535339	3698.0	3698	3697.0	0.99269875608437	0.45463494159575424	27.435	7878.442	1.0
meka.classifiers.multilabel.MULANedit -S BPMLLwD1b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	bibsonomy_bibtex: -C -159	5	2	0.038356852437406344	0.6337076151794805	0.004988717891071147	0.0372894346646348	7559.74	0.0	0.0	0.007970036155051027	3.5632964400249414E-4	0.009347373162903318	0.029929077290273533	0.9700709227097265	0.012232318913289424	0.9950112821089289	0.004988717891071147	2.437111171219908	2.3665133892345143	2.4372633856138455	0.02969941632090008	4.939361541961557	4.216787995217211	3697.0	3697	3698.0	0.9899918853124154	0.42567564083343784	26.476	7586.216	1.0
