Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	1	0.6977794054946959	0.8245904695619578	0.5569444444444442	0.4310185185185186	14.483	0.03333333333333333	0.30000000000000004	0.645	0.6605857424822942	0.6756756756756757	0.2	0.8	0.6962830687830689	0.44305555555555576	0.5569444444444442	1.85	1.85	1.8721804511278195	0.1861111111111111	0.5901067523014082	0.4673997293460174	60.0	60	532.0	0.3333333333333333	0.1685185185185185	0.001	14.484	0.7
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	2	0.6922776444881643	0.8192547416841928	0.5958333333333332	0.445324074074074	12.403	0.016666666666666666	0.35	0.677222222222222	0.6668248323118257	0.7058823529411765	0.1805555555555556	0.8194444444444444	0.7204629629629626	0.4041666666666668	0.5958333333333332	1.8666666666666667	1.8166666666666667	1.8759398496240602	0.17777777777777784	0.5334189922534571	0.46107997897919	60.0	60	532.0	0.23333333333333334	0.13800925925925925	0.002	12.405	0.65
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	3	0.6198614269232275	0.7771091850711049	0.4689265536723163	0.4782015065913371	15.134	0.05084745762711865	0.18644067796610164	0.5661016949152544	0.5787331102343408	0.6057692307692308	0.23163841807909608	0.768361581920904	0.6470809792843691	0.5310734463276837	0.4689265536723163	1.88135593220339	1.6440677966101696	1.8949343339587241	0.22598870056497178	0.6383091988157169	0.5159318486711791	59.0	59	533.0	0.3220338983050847	0.1619114877589454	0.001	15.135	0.8135593220338984
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	4	0.596328311873091	0.7816099463475435	0.47316384180790944	0.5244821092278719	14.103	0.01694915254237288	0.22033898305084743	0.5615819209039548	0.6095930252838344	0.6028708133971292	0.23446327683615814	0.7655367231638419	0.6283427495291902	0.5268361581920906	0.47316384180790944	1.88135593220339	1.6610169491525424	1.8930581613508444	0.231638418079096	0.6135241692240753	0.5019097198381753	59.0	59	533.0	0.4067796610169492	0.17989642184557442	0.001	14.104	0.7796610169491526
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	5	0.7682576665053927	0.8613358002191792	0.5875706214689265	0.4451035781544257	14.522	0.0	0.30508474576271183	0.6813559322033897	0.6596080948073914	0.6964285714285714	0.19209039548022594	0.807909604519774	0.7145278450363195	0.41242937853107353	0.5875706214689265	1.847457627118644	1.9491525423728813	1.8611632270168856	0.1892655367231638	0.5502820973926947	0.4860264059164542	59.0	59	533.0	0.22033898305084745	0.1434557438794727	0.002	14.524	0.6949152542372882
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	6	0.6783157918169141	0.831349478970529	0.5861581920903955	0.48201506591337095	14.907	0.03389830508474576	0.30508474576271183	0.6627118644067794	0.6257738940987022	0.7064220183486237	0.18079096045197737	0.8192090395480226	0.6998251277912293	0.41384180790960445	0.5861581920903955	1.8644067796610169	1.8305084745762712	1.874296435272045	0.17514124293785308	0.597540688577126	0.4691798944161336	59.0	59	533.0	0.3050847457627119	0.1533427495291902	0.001	14.908	0.6949152542372882
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	7	0.7407517055763052	0.8213709795203853	0.5112994350282485	0.49289077212806026	14.412	0.1016949152542373	0.2542372881355932	0.5943502824858757	0.6476533689752784	0.6752136752136751	0.21468926553672316	0.7853107344632768	0.6261097659402745	0.4887005649717515	0.5112994350282485	1.8135593220338984	2.152542372881356	1.8386491557223263	0.211864406779661	0.5793145053919964	0.45958520301672856	59.0	59	533.0	0.2711864406779661	0.1791431261770245	0.001	14.413	0.7457627118644068
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	8	0.773777767825186	0.8703919001931958	0.57909604519774	0.4525894538606402	12.341	0.01694915254237288	0.27118644067796616	0.6740112994350281	0.6580824968134555	0.7027027027027027	0.18644067796610173	0.8135593220338982	0.715832660747915	0.42090395480225995	0.57909604519774	1.847457627118644	1.9152542372881356	1.8649155722326454	0.18644067796610173	0.522861302913978	0.42353313052679864	59.0	59	533.0	0.22033898305084745	0.12321092278719398	0.002	12.343	0.7288135593220338
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	9	0.7876004399092759	0.8777955806944934	0.6059322033898306	0.4587099811676084	12.015	0.01694915254237288	0.3220338983050848	0.6926553672316383	0.7002128565346956	0.7129629629629629	0.17514124293785316	0.8248587570621468	0.7410411622276029	0.39406779661016944	0.6059322033898306	1.8644067796610169	1.7966101694915255	1.8780487804878048	0.16949152542372883	0.46066373215681744	0.4017737501145816	59.0	59	533.0	0.23728813559322035	0.11271186440677966	0.01	12.025	0.6779661016949152
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	1	10	0.7156267004455131	0.8351468027020467	0.554237288135593	0.4608757062146892	12.384	0.01694915254237288	0.27118644067796616	0.6468926553672316	0.6662403046444257	0.683982683982684	0.20621468926553674	0.7937853107344632	0.6731772935162765	0.44576271186440697	0.554237288135593	1.8305084745762712	2.0847457627118646	1.8461538461538463	0.20338983050847462	0.5231333861282661	0.4450760499747832	59.0	59	533.0	0.3050847457627119	0.17716572504708097	0.001	12.385	0.7288135593220338
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	1	0.7134709271685539	0.8316847954691332	0.5847222222222221	0.41634259259259276	10.522	0.0	0.30000000000000004	0.6805555555555555	0.6689122383321026	0.6936936936936937	0.18888888888888883	0.8111111111111111	0.7313756613756613	0.41527777777777786	0.5847222222222221	1.85	1.85	1.8721804511278195	0.17499999999999993	0.5787815012584445	0.4587408494686096	60.0	60	532.0	0.23333333333333334	0.16055555555555553	0.001	10.523	0.7
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	2	0.6892057133126818	0.8209975735263821	0.5666666666666668	0.44356481481481475	8.328	0.016666666666666666	0.25	0.6666666666666664	0.6436526454597072	0.6968325791855203	0.1861111111111111	0.8138888888888889	0.7195899470899467	0.43333333333333324	0.5666666666666668	1.8666666666666667	1.8166666666666667	1.8759398496240602	0.18333333333333332	0.5021073207945742	0.43357559592108746	60.0	60	532.0	0.16666666666666666	0.11217592592592592	0.001	8.329	0.75
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	3	0.6041356799806575	0.7586221575404263	0.4689265536723162	0.4585216572504708	10.137	0.05084745762711865	0.22033898305084743	0.5548022598870059	0.5755360623781677	0.596153846153846	0.23728813559322035	0.7627118644067796	0.6295668549905838	0.5310734463276838	0.4689265536723162	1.88135593220339	1.6440677966101696	1.8949343339587241	0.23163841807909608	0.6528386288170477	0.5248991971875439	59.0	59	533.0	0.423728813559322	0.19260828625235404	0.001	10.138	0.7796610169491526
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	4	0.6193925221924802	0.7876707825931945	0.4237288135593219	0.48799435028248583	7.336	0.1016949152542373	0.18644067796610164	0.509039548022599	0.5754782051184585	0.5741626794258374	0.2514124293785311	0.7485875706214689	0.579190207156309	0.5762711864406781	0.4237288135593219	1.88135593220339	1.6610169491525424	1.8930581613508444	0.24576271186440685	0.5978154477176916	0.49295127485249157	59.0	59	533.0	0.423728813559322	0.1868173258003766	0.001	7.337	0.8135593220338984
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	5	0.7627358830286557	0.8491361250834575	0.5875706214689265	0.4500941619585688	10.812	0.01694915254237288	0.288135593220339	0.6836158192090395	0.671207230766016	0.7053571428571429	0.1864406779661017	0.8135593220338984	0.7225316115146623	0.41242937853107353	0.5875706214689265	1.847457627118644	1.9491525423728813	1.8611632270168856	0.18361581920903955	0.5194192139429301	0.4640567702065971	59.0	59	533.0	0.22033898305084745	0.16534839924670436	0.001	10.813	0.711864406779661
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	6	0.698324824660923	0.84731065012945	0.5692090395480225	0.46426553672316384	8.626	0.01694915254237288	0.2542372881355932	0.667231638418079	0.6334503712613165	0.6972477064220184	0.1864406779661017	0.8135593220338984	0.7159671778315844	0.4307909604519775	0.5692090395480225	1.8644067796610169	1.8305084745762712	1.874296435272045	0.1807909604519774	0.5863637258021419	0.45797983264295256	59.0	59	533.0	0.3050847457627119	0.15461393596986817	0.0	8.626	0.7457627118644068
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	7	0.7466397801592016	0.8218313496539302	0.5240112994350281	0.43309792843691153	8.078	0.03389830508474576	0.2542372881355932	0.6084745762711863	0.6438343785355382	0.6752136752136751	0.21468926553672318	0.7853107344632768	0.6350282485875708	0.4759887005649719	0.5240112994350281	1.8135593220338984	2.152542372881356	1.8386491557223263	0.20903954802259891	0.5957137835949974	0.4781483890187628	59.0	59	533.0	0.3220338983050847	0.1846045197740113	0.001	8.079	0.7457627118644068
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	8	0.7517444719383564	0.872173019964709	0.5494350282485875	0.468879472693032	10.594	0.05084745762711865	0.288135593220339	0.6338983050847459	0.6464899622794359	0.6756756756756757	0.20338983050847464	0.7966101694915253	0.6771724509012644	0.4505649717514125	0.5494350282485875	1.847457627118644	1.9152542372881356	1.8649155722326454	0.20338983050847464	0.5103315688503922	0.4238354179430535	59.0	59	533.0	0.1864406779661017	0.1088512241054614	0.001	10.595	0.711864406779661
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	9	0.7558078866405431	0.8664917704282086	0.5748587570621471	0.40927495291902066	8.159	0.05084745762711865	0.27118644067796616	0.6661016949152542	0.6825219337578096	0.6944444444444443	0.1864406779661017	0.8135593220338984	0.7159268227064837	0.42514124293785294	0.5748587570621471	1.8644067796610169	1.7966101694915255	1.8780487804878048	0.18079096045197743	0.4876921188090222	0.42281327985100753	59.0	59	533.0	0.2711864406779661	0.11398305084745763	0.001	8.16	0.7288135593220338
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	2	10	0.714563796922377	0.8332273593232248	0.5225988700564972	0.46737288135593213	10.69	0.0	0.2542372881355932	0.6135593220338984	0.631949760982019	0.658008658008658	0.22316384180790957	0.7768361581920904	0.6405972558514931	0.4774011299435028	0.5225988700564972	1.8305084745762712	2.0847457627118646	1.8461538461538463	0.22033898305084743	0.5156570126472457	0.44665455234254764	59.0	59	533.0	0.288135593220339	0.16591337099811673	0.001	10.691	0.7457627118644068
meka.classifiers.multilabel.MULANedit -S BPMLLwD2b -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Music: -C 6	3	1	0.7116505073651022	0.823056828918662	0.5902777777777779	0.40949074074074077	10.319	0.016666666666666666	0.33333333333333337	0.6777777777777777	0.6862586276621364	0.7027027027027027	0.18333333333333332	0.8166666666666667	0.7226058201058201	0.4097222222222221	0.5902777777777779	1.85	1.85	1.8721804511278195	0.1722222222222222	0.5910224390311606	0.4641522625992243	60.0	60	532.0	0.3	0.16953703703703701	0.001	10.32	0.6666666666666666
