Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	1	0.4485287184325925	0.6932378771190865	0.5293781975600157	0.38510889428687545	521.63	0.0	0.14049586776859502	0.6416549933078859	0.36007241386983196	0.6613861386138614	0.2018890200708382	0.7981109799291618	0.7214916151570088	0.4706218024399843	0.5293781975600157	4.24793388429752	4.099173553719008	4.2524137931034485	0.19067296340023618	0.6646904199227127	0.5601215824769613	242.0	242	2175.0	0.26859504132231404	0.16694738014838365	0.377	522.007	0.859504132231405
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	2	0.46475127010120554	0.6810607257000155	0.5283582579037124	0.40027433404683976	508.537	0.0	0.15702479338842978	0.6415416539383483	0.3762954974381264	0.654124457308249	0.211629279811098	0.788370720188902	0.7077625550585492	0.4716417420962876	0.5283582579037124	4.223140495867769	4.3429752066115705	4.225287356321839	0.20247933884297525	0.6674994511840512	0.576771574805735	242.0	242	2175.0	0.22727272727272727	0.17890367699989881	0.377	508.914	0.8429752066115702
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	3	0.4596192413143845	0.6556002712520845	0.5468286763741308	0.4045063351833571	470.798	0.0	0.17355371900826444	0.6583740410186689	0.37229332079921834	0.6724721819061442	0.19982290436835892	0.8001770956316411	0.7317034514134247	0.4531713236258692	0.5468286763741308	4.223140495867769	4.318181818181818	4.228045977011495	0.1906729634002362	0.6262625457252033	0.5537816915980783	242.0	242	2175.0	0.2190082644628099	0.15182102267403338	0.292	471.09	0.8264462809917356
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	4	0.4538630926197715	0.6634406535357662	0.5220746425291877	0.3996326765357165	489.059	0.0	0.12809917355371903	0.6368169021061584	0.3650872314466532	0.6495891735137748	0.21399055489964583	0.7860094451003542	0.7071070085223368	0.47792535747081233	0.5220746425291877	4.223140495867769	4.3264462809917354	4.227126436781609	0.20690672963400236	0.6673085827915415	0.5731767575683934	242.0	242	2175.0	0.256198347107438	0.17268998628945498	0.246	489.305	0.871900826446281
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	5	0.4448334818317156	0.6628515569862916	0.49097825957330105	0.3871346083806727	463.318	0.0	0.12396694214876036	0.6056179816510396	0.3420979572005904	0.619	0.2249114521841794	0.7750885478158206	0.6961319632301312	0.509021740426699	0.49097825957330105	4.260330578512397	4.0041322314049586	4.262988505747127	0.21694214876033058	0.7327262727794698	0.6176787301190094	242.0	242	2175.0	0.30991735537190085	0.1915662071432436	0.415	463.733	0.8760330578512396
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	6	0.44366663704711823	0.6593953433997671	0.5114249042968053	0.38235991042923256	491.698	0.0	0.12396694214876036	0.6296448959672103	0.3581496000948888	0.6449732880038854	0.21576151121605655	0.7842384887839434	0.7081806675691421	0.4885750957031947	0.5114249042968053	4.2272727272727275	4.2809917355371905	4.232183908045977	0.20572609208972836	0.6597821239980954	0.5780917378863648	242.0	242	2175.0	0.2190082644628099	0.1726331970207413	0.262	491.96	0.8760330578512396
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	7	0.47973545604455126	0.6679771375643238	0.538623245441427	0.404451387029604	459.551	0.0	0.1900826446280992	0.6431097598452972	0.3865890637444848	0.6569484936831875	0.20838252656434472	0.7916174734356553	0.7082509986471429	0.46137675455857297	0.538623245441427	4.2272727272727275	4.276859504132231	4.23264367816092	0.1998229043683589	0.6424772046087789	0.5767172961283745	242.0	242	2175.0	0.25206611570247933	0.1907546941121322	0.428	459.979	0.8099173553719008
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	8	0.4415362228065705	0.6646812687797363	0.5190937232431009	0.3836248837233076	484.324	0.0	0.13692946058091282	0.6377648861051354	0.35223048811594454	0.6449416342412452	0.21636040308239488	0.7836395969176051	0.7138256749757159	0.4809062767568991	0.5190937232431009	4.224066390041494	4.3070539419087135	4.229319852941177	0.2071724955542384	0.6431608661131084	0.5578661094367207	241.0	241	2176.0	0.24896265560165975	0.16913027942221787	0.34	484.664	0.8630705394190872
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	9	0.41756530462473257	0.6428850058587138	0.519475729434236	0.38856975233395397	492.402	0.0	0.14937759336099588	0.6295688866228287	0.3454695722479147	0.6455387615797171	0.21547125074096027	0.7845287492590397	0.6986509772545355	0.48052427056576397	0.519475729434236	4.228215767634855	4.282157676348548	4.232077205882353	0.20687611144042678	0.6627669980483333	0.5736272545332839	241.0	241	2176.0	0.22821576763485477	0.17379526223628186	0.354	492.756	0.8506224066390041
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD2 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Yeast: -C 14 -split-number 1500	1	10	0.4563083347729062	0.6809190736516207	0.5503869459263653	0.37977624222141126	528.631	0.0	0.1659751037344398	0.6646986254870072	0.3790334969754561	0.6726102030708272	0.19590989922940136	0.8040901007705986	0.7468006021934246	0.4496130540736347	0.5503869459263653	4.244813278008299	4.132780082987552	4.248621323529412	0.18642560758743337	0.6685075590524658	0.569280288371313	241.0	241	2176.0	0.26556016597510373	0.15202633350973602	0.264	528.895	0.8340248962655602
